c,q,alpha_h,s,v,lam_max,N_half
1.20,0.260,0.1383805882,0.2758787299,0.07977461319,0.7156327745,2.0716
1.20,0.261,0.1389159539,0.2769391862,0.08008067676,0.7155761747,2.0712
1.20,0.262,0.1394513558,0.2779996347,0.08038673248,0.7155193118,2.0707
1.20,0.263,0.1399867939,0.2790600756,0.08069278034,0.7154621924,2.0702
1.20,0.264,0.1405222686,0.2801205086,0.08099882032,0.7154048087,2.0697
1.20,0.265,0.1410577798,0.2811809338,0.08130485243,0.7153471622,2.0692
1.20,0.266,0.1415933278,0.2822413511,0.08161087664,0.7152892556,2.0687
1.20,0.267,0.1421289127,0.2833017604,0.08191689294,0.7152310863,2.0682
1.20,0.268,0.1426645346,0.2843621618,0.08222290132,0.7151726510,2.0677
1.20,0.269,0.1432001936,0.2854225552,0.08252890178,0.7151139504,2.0672
1.20,0.270,0.14373589,0.2864829405,0.08283489429,0.7150549875,2.0667
1.20,0.271,0.1442716238,0.2875433177,0.08314087886,0.7149957602,2.0661
1.20,0.272,0.1448073951,0.2886036868,0.08344685546,0.7149362638,2.0656
1.20,0.273,0.1453432043,0.2896640477,0.08375282409,0.7148765082,2.0651
1.20,0.274,0.1458790512,0.2907244003,0.08405878475,0.7148164800,2.0646
1.20,0.275,0.1464149362,0.2917847447,0.08436473741,0.7147561871,2.0641
1.20,0.276,0.1469508594,0.2928450808,0.08467068208,0.7146956240,2.0636
1.20,0.277,0.1474868208,0.2939054085,0.08497661873,0.7146347953,2.0630
1.20,0.278,0.1480228207,0.2949657278,0.08528254737,0.7145736999,2.0625
1.20,0.279,0.1485588591,0.2960260387,0.08558846799,0.7145123322,2.0620
1.20,0.280,0.1490949362,0.2970863411,0.08589438057,0.7144506957,2.0615
1.20,0.281,0.1496310523,0.2981466349,0.08620028511,0.7143887906,2.0609
1.20,0.282,0.1501672073,0.2992069202,0.08650618159,0.7143266148,2.0604
1.20,0.283,0.1507034014,0.3002671968,0.08681207002,0.7142641710,2.0599
1.20,0.284,0.1512396348,0.3013274648,0.08711795038,0.7142014512,2.0593
1.20,0.285,0.1517759077,0.302387724,0.08742382267,0.7141384611,2.0588
1.20,0.286,0.1523122201,0.3034479745,0.08772968687,0.7140751981,2.0582
1.20,0.287,0.1528485722,0.3045082162,0.08803554299,0.7140116618,2.0577
1.20,0.288,0.1533849641,0.3055684491,0.08834139101,0.7139478511,2.0572
1.20,0.289,0.153921396,0.3066286731,0.08864723094,0.7138837692,2.0566
1.20,0.290,0.1544578681,0.3076888881,0.08895306275,0.7138194086,2.0561
1.20,0.291,0.1549943804,0.3087490941,0.08925888645,0.7137547769,2.0555
1.20,0.292,0.1555309331,0.3098092911,0.08956470204,0.7136898694,2.0549
1.20,0.293,0.1560675264,0.3108694791,0.0898705095,0.7136246830,2.0544
1.20,0.294,0.1566041604,0.3119296579,0.09017630882,0.7135592232,2.0538
1.20,0.295,0.1571408352,0.3129898275,0.09048210002,0.7134934826,2.0533
1.20,0.296,0.157677551,0.314049988,0.09078788307,0.7134274693,2.0527
1.20,0.297,0.1582143079,0.3151101391,0.09109365798,0.7133611748,2.0521
1.20,0.298,0.158751106,0.316170281,0.09139942474,0.7132946045,2.0516
1.20,0.299,0.1592879456,0.3172304135,0.09170518335,0.7132277519,2.0510
1.20,0.300,0.1598248267,0.3182905366,0.0920109338,0.7131606193,2.0504
1.20,0.301,0.1603617495,0.3193506503,0.09231667609,0.7130932088,2.0499
